"availability","brand_name","category","competitor_name","competitor_price","competitor_product_id","competitor_sale_price","currency","data_valid","discount_pct","gender_target","is_on_sale","product_name","scraped_at","sizes_available/0","sizes_available/1","sizes_available/2","sizes_available/3","sizes_available/4","sizes_available/5","sizes_available/6","sizes_available/7","sizes_available/8","sizes_available/9","sizes_available/10","sizes_available/11","sku_id","source_url","style_code"
"in_stock","On","Low Boots","tchooz","179","tchooz:9115222704385",,"USD","true",,"men","false","Cloud X 4 Men","2026-05-22T03:00:12Z","46","47",,,,,,,,,,,"3ME30040106","https://tchoozshoes.com/products/cloud-x-4-men","does_not_exist"
"in_stock","On","Low Boots","tchooz","209","tchooz:9115222573313",,"USD","true",,"women","false","Cloudmonster Women","2026-05-22T03:00:12Z","37",,,,,,,,,,,,"61.99024","https://tchoozshoes.com/products/cloudmonster-women","does_not_exist"
"in_stock","Puma","Pants","tchooz","92","tchooz:9115222442241",,"USD","true",,"men","false","WARDROBE ESS Sweatpants TR Men","2026-05-22T03:00:12Z","S","M","L","XL","XXL",,,,,,,,"63153501","https://tchoozshoes.com/products/wardrobe-ess-sweatpants-tr-men","does_not_exist"
"in_stock","Puma","Tights","tchooz","42","tchooz:9115222409473",,"USD","true",,"women","false","ESS High-Waist Flared Leggings Women","2026-05-22T03:00:12Z","XS",,,,,,,,,,,,"63154201","https://tchoozshoes.com/products/ess-high-waist-flared-leggings-men","does_not_exist"
"in_stock","Puma","Hoodies","tchooz","72","tchooz:9115222278401",,"USD","true",,"men","false","ESS No.1 Full-Zip Hoodie TR Men","2026-05-22T03:00:12Z","M","XXL",,,,,,,,,,,"68258803","https://tchoozshoes.com/products/ess-no-1-full-zip-hoodie-tr-men","does_not_exist"
"in_stock","Adidas","Low Boots","tchooz","223","tchooz:9115222147329","167","USD","true","25.11","men","true","SAMBA DECON Men","2026-05-22T03:00:12Z","44","44 2/3",,,,,,,,,,,"IF0642","https://tchoozshoes.com/products/samba-decon-men","does_not_exist"
"in_stock","Adidas","Low Boots","tchooz","96","tchooz:9115222114561",,"USD","true",,"men","false","ADVANTAGE BASE 2.0 Men","2026-05-22T03:00:12Z","44 2/3",,,,,,,,,,,,"IG9184","https://tchoozshoes.com/products/advantage-base-2-0-men","does_not_exist"
"in_stock","On","Low Boots","tchooz","179","tchooz:9115222016257",,"USD","true",,"men","false","Cloud 6 Men","2026-05-22T03:00:12Z","46","Silver",,,,,,,,,,,"3MF10070299","https://tchoozshoes.com/products/cloud-6-men","does_not_exist"
"in_stock","Puma","Low Boots","tchooz","165","tchooz:9115221917953","85","USD","true","48.48","men","true","Ferrari Palermo MTSP Men","2026-05-22T03:00:12Z","41","42","44","46",,,,,,,,,"30889903","https://tchoozshoes.com/products/ferrari-palermo-mtsp-men","does_not_exist"
"in_stock","Puma","Low Boots","tchooz","180","tchooz:9115221819649","90","USD","true","50","men","true","MB.05 World Tour Men","2026-05-22T03:00:12Z","44","45","46",,,,,,,,,,"31212901","https://tchoozshoes.com/products/mb-05-world-tour-men","does_not_exist"
"in_stock","Puma","Low Boots","tchooz","90","tchooz:9115221754113",,"USD","true",,"women","false","Shuffle Doto Women","2026-05-22T03:00:12Z","36","37.5",,,,,,,,,,,"40259602","https://tchoozshoes.com/products/shuffle-doto-women","does_not_exist"
"in_stock","Puma","Low Boots","tchooz","150","tchooz:9115221688577","75","USD","true","50","men","true","Speedcat LTHR Men","2026-05-22T03:00:12Z","44","44.5","46",,,,,,,,,,"40317502","https://tchoozshoes.com/products/speedcat-lthr-men","does_not_exist"
"in_stock","Puma","Bras","tchooz","64","tchooz:9115221590273","30","USD","true","53.12","women","true","4KEEPS RUN BRA Women","2026-05-22T03:00:12Z","XS","S","L","Purple","M",,,,,,,,"52495397","https://tchoozshoes.com/products/4keeps-run-bra-women","does_not_exist"
"in_stock","Puma","Sportband","tchooz","30","tchooz:9115221426433",,"USD","true",,"unisex","false","TR ESS Hairbands","2026-05-22T03:00:12Z","X",,,,,,,,,,,,"5345235","https://tchoozshoes.com/products/tr-ess-hairbands","does_not_exist"
"in_stock","Puma","Waterbottles","tchooz","29","tchooz:9115221393665",,"USD","true",,"unisex","false","TR SPORTSTYLE Waterbottle","2026-05-22T03:00:12Z","Yellow","X",,,,,,,,,,,"5351835","https://tchoozshoes.com/products/tr-sportstyle-waterbottle","does_not_exist"
