style_code,mikesport_product,adidas_product,mikesport_price_original,mikesport_currency,adidas_price_original,adidas_currency,mikesport_price_usd,adidas_price_usd,mikesport_price_lbp,adidas_price_lbp,same_price,cheaper_retailer,more_expensive_retailer,price_relation,price_diff_usd,price_diff_lbp
JM1830,Adidas Marvel Spiderman Cap Pure Ruby,"Kids Unisex adidas Marvel Spider Man Cap, Red",38.0,USD,3330000.0,LBP,38.0,37.0,3420000.0,3330000.0,False,adidas_lb,mikesport_lb,adidas_cheaper,1.0,90000.0
JM6394,Adidas Retro Futurism Graphic Men Sportswear T-Shirt Black,"Retro Futurism Graphic T-Shirt, Black",38.0,USD,3330000.0,LBP,38.0,37.0,3420000.0,3330000.0,False,adidas_lb,mikesport_lb,adidas_cheaper,1.0,90000.0
JM6459,Adidas Food Grilled Cheese Graphic Men Sportswear T-Shirt Off White,"Food Grilled Cheese Graphic T-Shirt, White",45.0,USD,3960000.0,LBP,45.0,44.0,4050000.0,3960000.0,False,adidas_lb,mikesport_lb,adidas_cheaper,1.0,90000.0
JN7020,Adidas Adicolor Classics 3 Stripes Men Original T-Shirt Wonder White,"Adicolor Classics 3-Stripes T-Shirt, White",35.0,USD,2430000.0,LBP,35.0,27.0,3150000.0,2430000.0,False,adidas_lb,mikesport_lb,adidas_cheaper,8.0,720000.0
JN8525,Adidas Fc Bayern 25/26 Home Jersey Kids-Unisex Football T-Shirt Red,"Kids Unisex FC Bayern 25/26 Home Jersey, Red",112.0,USD,9990000.0,LBP,112.0,111.0,10080000.0,9990000.0,False,adidas_lb,mikesport_lb,adidas_cheaper,1.0,90000.0
JP0392,Adidas New Logo Baseball Unisex Training Cap White/Black,"Unisex New Logo Baseball Cap, White",29.0,USD,2520000.0,LBP,29.0,28.0,2610000.0,2520000.0,False,adidas_lb,mikesport_lb,adidas_cheaper,1.0,90000.0
JP6162,Adidas Advantage 2.0 Dino Ps-Boys Sportswear Shoes Off White,"Kids Unisex Advantage 2.0 Dino Shoes, White",47.0,USD,3960000.0,LBP,47.0,44.0,4230000.0,3960000.0,False,adidas_lb,mikesport_lb,adidas_cheaper,3.0,270000.0
JP7129,Adidas Gazelle Ps-Boys Originals Shoes Blue/Orange/Black,"Kids Unisex Gazelle Shoes, Blue",89.0,USD,7920000.0,LBP,89.0,88.0,8010000.0,7920000.0,False,adidas_lb,mikesport_lb,adidas_cheaper,1.0,90000.0
JP7147,Adidas Adizero Evo Sl Women Running Shoes Black/Iron Metallic,"Adizero EVO SL Shoes, Black",223.0,USD,19980000.0,LBP,223.0,222.0,20070000.0,19980000.0,False,adidas_lb,mikesport_lb,adidas_cheaper,1.0,90000.0
JP7149,Adidas Adizero Evo Sl Men Running Shoes Core Black/White,"Adizero EVO SL Shoes, Black",223.0,USD,19980000.0,LBP,223.0,222.0,20070000.0,19980000.0,False,adidas_lb,mikesport_lb,adidas_cheaper,1.0,90000.0
JP9407,Adidas Runfalcon 5 Infant-Girls Sportswear Shoes Pink,"Kids Unisex Runfalcon 5 Shoes, Pink",57.0,USD,5040000.0,LBP,57.0,56.0,5130000.0,5040000.0,False,adidas_lb,mikesport_lb,adidas_cheaper,1.0,90000.0
JQ1844,Adidas Tensaur Sport 3.0 Cf Ps-Girls Sportswear Shoes Cloud White,"Kids Unisex Tensaur Sport 3.0 Cf K Shoes, White",57.0,USD,5040000.0,LBP,57.0,56.0,5130000.0,5040000.0,False,adidas_lb,mikesport_lb,adidas_cheaper,1.0,90000.0
JQ3019,Adidas Duramo Sl2 Gs-Girls Running Shoes Shadow Navy,"Kids Unisex Duramo SL Shoes, Blue",77.0,USD,6840000.0,LBP,77.0,76.0,6930000.0,6840000.0,False,adidas_lb,mikesport_lb,adidas_cheaper,1.0,90000.0
JQ6055,Adidas Breaknet 3.0 Women Sportswear Shoes White/Glow Blue,"Breaknet 3.0 Shoes, White",62.0,USD,5130000.0,LBP,62.0,57.0,5580000.0,5130000.0,False,adidas_lb,mikesport_lb,adidas_cheaper,5.0,450000.0
JQ6861,Adidas Initiation Men Basketball Shoes Lucid Lime/Black,"Unisex Adidas Initiation Shoes, Green",128.0,USD,11340000.0,LBP,128.0,126.0,11520000.0,11340000.0,False,adidas_lb,mikesport_lb,adidas_cheaper,2.0,180000.0
JR3089,Adidas Runfalcon 5 Women Running Shoes White/Purple/Blue,"Runfalcon 5 Running Shoes, White",89.0,USD,7920000.0,LBP,89.0,88.0,8010000.0,7920000.0,False,adidas_lb,mikesport_lb,adidas_cheaper,1.0,90000.0
JR3236,Adidas Duramo Rc2 Women Running Shoes Cloud White,"Duramo RC2 Running Shoes, White",77.0,USD,6840000.0,LBP,77.0,76.0,6930000.0,6840000.0,False,adidas_lb,mikesport_lb,adidas_cheaper,1.0,90000.0
